# time=3.35693
x,y,u,v,p,magnitude
0.00007813,0.00007813,0.00000014,-0.00000011,0.00061298,0.00000018
0.00007813,0.00023437,0.00000015,-0.00000038,0.00061494,0.00000041
0.00007813,0.00039063,0.00000005,-0.00000057,0.00062447,0.00000057
0.00007813,0.00054688,-0.00000012,-0.00000048,0.00063795,0.00000050
0.00007813,0.00070312,-0.00000029,-0.00000005,0.00065572,0.00000030
0.00007813,0.00085938,-0.00000049,0.00000074,0.00067409,0.00000089
0.00007813,0.00101563,-0.00000065,0.00000189,0.00069386,0.00000200
0.00007813,0.00117187,-0.00000083,0.00000339,0.00071185,0.00000349
0.00007813,0.00132813,-0.00000098,0.00000522,0.00072930,0.00000531
0.00007813,0.00148438,-0.00000114,0.00000736,0.00074335,0.00000745
0.00007813,0.00164062,-0.00000128,0.00000980,0.00075549,0.00000988
0.00007813,0.00179688,-0.00000143,0.00001251,0.00076304,0.00001260
0.00007813,0.00195312,-0.00000155,0.00001550,0.00076762,0.00001558
0.00007813,0.00210938,-0.00000169,0.00001875,0.00076663,0.00001883
0.00007813,0.00226562,-0.00000180,0.00002225,0.00076178,0.00002232
0.00007813,0.00242187,-0.00000193,0.00002599,0.00075049,0.00002606
0.00007813,0.00257813,-0.00000203,0.00002997,0.00073455,0.00003003
0.00007813,0.00273438,-0.00000215,0.00003417,0.00071136,0.00003423
0.00007813,0.00289062,-0.00000225,0.00003858,0.00068277,0.00003865
0.00007813,0.00304688,-0.00000237,0.00004322,0.00064617,0.00004328
0.00007813,0.00320313,-0.00000245,0.00004805,0.00060346,0.00004811
0.00007813,0.00335937,-0.00000256,0.00005309,0.00055203,0.00005315
0.00007813,0.00351563,-0.00000264,0.00005831,0.00049383,0.00005837
0.00007813,0.00367188,-0.00000275,0.00006372,0.00042624,0.00006378
0.00007813,0.00382812,-0.00000282,0.00006930,0.00035128,0.00006936
0.00007813,0.00398438,-0.00000291,0.00007505,0.00026632,0.00007510
0.00007813,0.00414063,-0.00000297,0.00008095,0.00017349,0.00008101
0.00007813,0.00429688,-0.00000306,0.00008700,0.00007015,0.00008706
0.00007813,0.00445313,-0.00000311,0.00009319,-0.00004148,0.00009324
0.00007813,0.00460937,-0.00000319,0.00009951,-0.00016403,0.00009956
0.00007813,0.00476562,-0.00000323,0.00010595,-0.00029517,0.00010600
0.00007813,0.00492188,-0.00000330,0.00011251,-0.00043754,0.00011255
0.00007813,0.00507813,-0.00000334,0.00011917,-0.00058869,0.00011922
0.00007813,0.00523438,-0.00000341,0.00012595,-0.00075127,0.00012599
0.00007813,0.00539063,-0.00000346,0.00013284,-0.00092277,0.00013288
0.00007813,0.00554687,-0.00000353,0.00013985,-0.00110586,0.00013989
0.00007813,0.00570312,-0.00000359,0.00014699,-0.00129798,0.00014703
0.00007813,0.00585938,-0.00000369,0.00015429,-0.00150194,0.00015433
0.00007813,0.00601563,-0.00000378,0.00016177,-0.00171518,0.00016182
0.00007813,0.00617188,-0.00000392,0.00016950,-0.00194073,0.00016954
0.00007813,0.00632813,-0.00000407,0.00017752,-0.00217621,0.00017756
0.00007813,0.00648438,-0.00000430,0.00018591,-0.00242501,0.00018596
0.00007813,0.00664062,-0.00000456,0.00019479,-0.00268516,0.00019485
0.00007813,0.00679687,-0.00000492,0.00020430,-0.00296073,0.00020436
0.00007813,0.00695313,-0.00000536,0.00021460,-0.00325055,0.00021467
0.00007813,0.00710938,-0.00000595,0.00022593,-0.00355991,0.00022601
0.00007813,0.00726563,-0.00000667,0.00023858,-0.00388915,0.00023867
0.00007813,0.00742188,-0.00000764,0.00025292,-0.00424580,0.00025303
0.00007813,0.00757812,-0.00000885,0.00026943,-0.00463311,0.00026958
0.00007813,0.00773437,-0.00001045,0.00028876,-0.00506284,0.00028895
0.00007813,0.00789063,-0.00001249,0.00031173,-0.00554407,0.00031198
0.00007813,0.00804688,-0.00001520,0.00033944,-0.00609705,0.00033978
0.00007813,0.00820313,-0.00001874,0.00037340,-0.00674319,0.00037387
0.00007813,0.00835938,-0.00002351,0.00041567,-0.00752147,0.00041634
0.00007813,0.00851563,-0.00002997,0.00046918,-0.00848210,0.00047014
0.00007813,0.00867188,-0.00003901,0.00053819,-0.00971053,0.00053960
0.00007813,0.00882813,-0.00005189,0.00062912,-0.01133499,0.00063125
0.00007813,0.00898438,-0.00007090,0.00075193,-0.01357946,0.00075527
0.00007813,0.00914062,-0.00009958,0.00092243,-0.01683253,0.00092779
0.00007813,0.00929687,-0.00014305,0.00116508,-0.02183858,0.00117383
0.00007813,0.00945312,-0.00020381,0.00151197,-0.03008231,0.00152565
0.00007813,0.00960937,-0.00025606,0.00197187,-0.04468748,0.00198843
0.00007813,0.00976562,-0.00011202,0.00233998,-0.07211251,0.00234266
0.00007813,0.00992188,0.00122603,0.00122602,-0.12645019,0.00173386
0.00023437,0.00007813,0.00000041,-0.00000014,0.00060956,0.00000043
0.00023437,0.00023437,0.00000037,-0.00000033,0.00061263,0.00000050
0.00023437,0.00039063,-0.00000012,-0.00000017,0.00061984,0.00000021
0.00023437,0.00054688,-0.00000084,0.00000065,0.00063200,0.00000106
0.00023437,0.00070312,-0.00000163,0.00000230,0.00064565,0.00000282
0.00023437,0.00085938,-0.00000245,0.00000484,0.00066172,0.00000543
0.00023437,0.00101563,-0.00000326,0.00000828,0.00067696,0.00000890
0.00023437,0.00117187,-0.00000404,0.00001262,0.00069257,0.00001325
0.00023437,0.00132813,-0.00000478,0.00001781,0.00070559,0.00001844
0.00023437,0.00148438,-0.00000549,0.00002384,0.00071745,0.00002446
0.00023437,0.00164062,-0.00000617,0.00003066,0.00072537,0.00003127
0.00023437,0.00179688,-0.00000682,0.00003825,0.00073096,0.00003885
0.00023437,0.00195312,-0.00000744,0.00004657,0.00073154,0.00004716
0.00023437,0.00210938,-0.00000805,0.00005560,0.00072882,0.00005618
0.00023437,0.00226562,-0.00000863,0.00006531,0.00072015,0.00006588
0.00023437,0.00242187,-0.00000919,0.00007569,0.00070732,0.00007624
0.00023437,0.00257813,-0.00000973,0.00008670,0.00068772,0.00008724
0.00023437,0.00273438,-0.00001026,0.00009833,0.00066317,0.00009886
0.00023437,0.00289062,-0.00001077,0.00011056,0.00063105,0.00011108
0.00023437,0.00304688,-0.00001127,0.00012337,0.00059327,0.00012389
0.00023437,0.00320313,-0.00001174,0.00013675,0.00054718,0.00013725
0.00023437,0.00335937,-0.00001220,0.00015066,0.00049474,0.00015116
0.00023437,0.00351563,-0.00001264,0.00016510,0.00043330,0.00016559
0.00023437,0.00367188,-0.00001307,0.00018004,0.00036489,0.00018051
0.00023437,0.00382812,-0.00001347,0.00019546,0.00028684,0.00019592
0.00023437,0.00398438,-0.00001385,0.00021133,0.00020127,0.00021178
0.00023437,0.00414063,-0.00001421,0.00022763,0.00010551,0.00022807
0.00023437,0.00429688,-0.00001455,0.00024434,0.00000177,0.00024477
0.00023437,0.00445313,-0.00001487,0.00026143,-0.00011264,0.00026185
0.00023437,0.00460937,-0.00001517,0.00027888,-0.00023540,0.00027929
0.00023437,0.00476562,-0.00001546,0.00029667,-0.00036921,0.00029707
0.00023437,0.00492188,-0.00001573,0.00031479,-0.00051164,0.00031518
0.00023437,0.00507813,-0.00001599,0.00033322,-0.00066542,0.00033360
0.00023437,0.00523438,-0.00001626,0.00035196,-0.00082803,0.00035233
0.00023437,0.00539063,-0.00001653,0.00037102,-0.00100225,0.00037139
0.00023437,0.00554687,-0.00001684,0.00039042,-0.00118553,0.00039078
0.00023437,0.00570312,-0.00001718,0.00041019,-0.00138073,0.00041055
0.00023437,0.00585938,-0.00001758,0.00043040,-0.00158531,0.00043076
0.00023437,0.00601563,-0.00001807,0.00045112,-0.00180235,0.00045148
0.00023437,0.00617188,-0.00001868,0.00047248,-0.00202943,0.00047285
0.00023437,0.00632813,-0.00001945,0.00049463,-0.00226997,0.00049501
0.00023437,0.00648438,-0.00002043,0.00051777,-0.00252190,0.00051817
0.00023437,0.00664062,-0.00002168,0.00054216,-0.00278924,0.00054260
0.00023437,0.00679687,-0.00002327,0.00056816,-0.00307056,0.00056863
0.00023437,0.00695313,-0.00002530,0.00059618,-0.00337095,0.00059671
0.00023437,0.00710938,-0.00002790,0.00062677,-0.00369024,0.00062739
0.00023437,0.00726563,-0.00003120,0.00066062,-0.00403535,0.00066135
0.00023437,0.00742188,-0.00003541,0.00069859,-0.00440847,0.00069949
0.00023437,0.00757812,-0.00004077,0.00074178,-0.00481989,0.00074290
0.00023437,0.00773437,-0.00004763,0.00079157,-0.00527629,0.00079300
0.00023437,0.00789063,-0.00005641,0.00084972,-0.00579440,0.00085159
0.00023437,0.00804688,-0.00006772,0.00091848,-0.00638988,0.00092097
0.00023437,0.00820313,-0.00008237,0.00100070,-0.00709258,0.00100408
0.00023437,0.00835938,-0.00010149,0.00110007,-0.00793732,0.00110474
0.00023437,0.00851563,-0.00012670,0.00122130,-0.00898301,0.00122785
0.00023437,0.00867188,-0.00016030,0.00137033,-0.01030905,0.00137967
0.00023437,0.00882813,-0.00020556,0.00155439,-0.01204509,0.00156792
0.00023437,0.00898438,-0.00026691,0.00178129,-0.01438437,0.00180118
0.00023437,0.00914062,-0.00034916,0.00205642,-0.01764177,0.00208585
0.00023437,0.00929687,-0.00045273,0.00237306,-0.02230290,0.00241586
0.00023437,0.00945312,-0.00055293,0.00268499,-0.02908774,0.00274133
0.00023437,0.00960937,-0.00052047,0.00283864,-0.03876133,0.00288596
0.00023437,0.00976562,0.00017208,0.00245087,-0.05083735,0.00245690
0.00023437,0.00992188,0.00347944,0.00102736,-0.05853363,0.00362795
0.00039063,0.00007813,0.00000058,-0.00000002,0.00060093,0.00000058
0.00039063,0.00023437,0.00000021,0.00000017,0.00060425,0.00000027
0.00039063,0.00039063,-0.00000101,0.00000106,0.00061249,0.00000147
0.00039063,0.00054688,-0.00000268,0.00000297,0.00062246,0.00000400
0.00039063,0.00070312,-0.00000454,0.00000609,0.00063539,0.00000760
0.00039063,0.00085938,-0.00000647,0.00001048,0.00064809,0.00001232
0.00039063,0.00101563,-0.00000839,0.00001620,0.00066190,0.00001825
0.00039063,0.00117187,-0.00001026,0.00002323,0.00067378,0.00002540
0.00039063,0.00132813,-0.00001206,0.00003155,0.00068521,0.00003378
0.00039063,0.00148438,-0.00001379,0.00004112,0.00069332,0.00004337
0.00039063,0.00164062,-0.00001545,0.00005189,0.00069974,0.00005415
0.00039063,0.00179688,-0.00001705,0.00006383,0.00070169,0.00006607
0.00039063,0.00195312,-0.00001859,0.00007690,0.00070090,0.00007911
0.00039063,0.00210938,-0.00002007,0.00009105,0.00069466,0.00009324
0.00039063,0.00226562,-0.00002151,0.00010625,0.00068479,0.00010841
0.00039063,0.00242187,-0.00002289,0.00012247,0.00066857,0.00012459
0.00039063,0.00257813,-0.00002424,0.00013968,0.00064791,0.00014176
0.00039063,0.00273438,-0.00002554,0.00015784,0.00062010,0.00015989
0.00039063,0.00289062,-0.00002680,0.00017692,0.00058708,0.00017894
0.00039063,0.00304688,-0.00002802,0.00019691,0.00054614,0.00019889
0.00039063,0.00320313,-0.00002920,0.00021776,0.00049929,0.00021971
0.00039063,0.00335937,-0.00003034,0.00023945,0.00044381,0.00024136
0.00039063,0.00351563,-0.00003143,0.00026194,0.00038177,0.00026382
0.00039063,0.00367188,-0.00003248,0.00028520,0.00031043,0.00028705
0.00039063,0.00382812,-0.00003347,0.00030921,0.00023195,0.00031102
0.00039063,0.00398438,-0.00003442,0.00033392,0.00014356,0.00033568
0.00039063,0.00414063,-0.00003531,0.00035929,0.00004754,0.00036102
0.00039063,0.00429688,-0.00003616,0.00038529,-0.00005892,0.00038698
0.00039063,0.00445313,-0.00003695,0.00041189,-0.00017343,0.00041354
0.00039063,0.00460937,-0.00003769,0.00043904,-0.00029881,0.00044066
0.00039063,0.00476562,-0.00003840,0.00046673,-0.00043258,0.00046830
0.00039063,0.00492188,-0.00003908,0.00049491,-0.00057758,0.00049645
0.00039063,0.00507813,-0.00003974,0.00052359,-0.00073125,0.00052509
0.00039063,0.00523438,-0.00004040,0.00055274,-0.00089647,0.00055422
0.00039063,0.00539063,-0.00004108,0.00058238,-0.00107061,0.00058383
0.00039063,0.00554687,-0.00004183,0.00061254,-0.00125665,0.00061396
0.00039063,0.00570312,-0.00004266,0.00064325,-0.00145196,0.00064467
0.00039063,0.00585938,-0.00004365,0.00067461,-0.00165968,0.00067602
0.00039063,0.00601563,-0.00004483,0.00070673,-0.00187726,0.00070815
0.00039063,0.00617188,-0.00004630,0.00073975,-0.00210815,0.00074120
0.00039063,0.00632813,-0.00004813,0.00077391,-0.00235004,0.00077540
0.00039063,0.00648438,-0.00005044,0.00080947,-0.00260687,0.00081104
0.00039063,0.00664062,-0.00005337,0.00084679,-0.00287684,0.00084847
0.00039063,0.00679687,-0.00005709,0.00088632,-0.00316474,0.00088815
0.00039063,0.00695313,-0.00006180,0.00092862,-0.00346972,0.00093068
0.00039063,0.00710938,-0.00006776,0.00097441,-0.00379801,0.00097676
0.00039063,0.00726563,-0.00007530,0.00102455,-0.00415050,0.00102731
0.00039063,0.00742188,-0.00008482,0.00108011,-0.00453590,0.00108344
0.00039063,0.00757812,-0.00009683,0.00114242,-0.00495830,0.00114652
0.00039063,0.00773437,-0.00011199,0.00121307,-0.00543092,0.00121823
0.00039063,0.00789063,-0.00013112,0.00129401,-0.00596380,0.00130063
0.00039063,0.00804688,-0.00015528,0.00138753,-0.00657862,0.00139619
0.00039063,0.00820313,-0.00018585,0.00149636,-0.00729704,0.00150786
0.00039063,0.00835938,-0.00022457,0.00162356,-0.00815730,0.00163902
0.00039063,0.00851563,-0.00027361,0.00177234,-0.00920438,0.00179334
0.00039063,0.00867188,-0.00033554,0.00194548,-0.01050993,0.00197420
0.00039063,0.00882813,-0.00041286,0.00214398,-0.01216550,0.00218337
0.00039063,0.00898438,-0.00050645,0.00236393,-0.01430540,0.00241757
0.00039063,0.00914062,-0.00061065,0.00258984,-0.01709425,0.00266086
0.00039063,0.00929687,-0.00069915,0.00278113,-0.02071604,0.00286767
0.00039063,0.00945312,-0.00068525,0.00284796,-0.02523585,0.00292924
0.00039063,0.00960937,-0.00031519,0.00262136,-0.03021988,0.00264025
0.00039063,0.00976562,0.00109735,0.00187861,-0.03377313,0.00217563
0.00039063,0.00992188,0.00518157,0.00067475,-0.03055494,0.00522532
0.00054688,0.00007813,0.00000049,0.00000013,0.00058648,0.00000051
0.00054688,0.00023437,-0.00000060,0.00000087,0.00059314,0.00000106
0.00054688,0.00039063,-0.00000290,0.00000270,0.00060122,0.00000397
0.00054688,0.00054688,-0.00000587,0.00000588,0.00061217,0.00000831
0.00054688,0.00070312,-0.00000916,0.00001058,0.00062313,0.00001399
0.00054688,0.00085938,-0.00001256,0.00001689,0.00063553,0.00002105
0.00054688,0.00101563,-0.00001596,0.00002484,0.00064651,0.00002953
0.00054688,0.00117187,-0.00001930,0.00003443,0.00065755,0.00003947
0.00054688,0.00132813,-0.00002254,0.00004564,0.00066583,0.00005091
0.00054688,0.00148438,-0.00002566,0.00005844,0.00067295,0.00006382
0.00054688,0.00164062,-0.00002868,0.00007277,0.00067615,0.00007821
0.00054688,0.00179688,-0.00003158,0.00008859,0.00067712,0.00009405
0.00054688,0.00195312,-0.00003438,0.00010586,0.00067317,0.00011130
0.00054688,0.00210938,-0.00003709,0.00012452,0.00066604,0.00012993
0.00054688,0.00226562,-0.00003971,0.00014455,0.00065307,0.00014990
0.00054688,0.00242187,-0.00004224,0.00016589,0.00063609,0.00017118
0.00054688,0.00257813,-0.00004470,0.00018851,0.00061242,0.00019373
0.00054688,0.00273438,-0.00004708,0.00021236,0.00058396,0.00021752
0.00054688,0.00289062,-0.00004939,0.00023742,0.00054802,0.00024250
0.00054688,0.00304688,-0.00005163,0.00026364,0.00050655,0.00026864
0.00054688,0.00320313,-0.00005378,0.00029098,0.00045687,0.00029591
0.00054688,0.00335937,-0.00005587,0.00031941,0.00040099,0.00032426
0.00054688,0.00351563,-0.00005786,0.00034889,0.00033619,0.00035365
0.00054688,0.00367188,-0.00005978,0.00037937,0.00026457,0.00038405
0.00054688,0.00382812,-0.00006160,0.00041080,0.00018341,0.00041540
