# time=0.803878
x,y,u,v,p,magnitude
0.00005859,0.00004688,0.00859111,0.00112669,0.78571500,0.00866468
0.00005859,0.00014063,0.01014748,0.00213558,0.68659722,0.01036977
0.00005859,0.00023437,0.01035255,0.00173533,0.62683830,0.01049698
0.00005859,0.00032813,0.01028136,0.00122797,0.59241868,0.01035443
0.00005859,0.00042187,0.01018966,0.00085092,0.57210727,0.01022513
0.00005859,0.00051563,0.01012431,0.00059952,0.55951438,0.01014204
0.00005859,0.00060937,0.01008260,0.00043376,0.55115365,0.01009192
0.00005859,0.00070312,0.01005718,0.00032170,0.54534004,0.01006232
0.00005859,0.00079688,0.01004091,0.00024300,0.54106817,0.01004385
0.00005859,0.00089063,0.01003082,0.00018539,0.53790059,0.01003253
0.00005859,0.00098438,0.01002381,0.00014146,0.53546314,0.01002481
0.00005859,0.00107813,0.01001948,0.00010660,0.53364863,0.01002005
0.00005859,0.00117187,0.01001621,0.00007781,0.53226585,0.01001651
0.00005859,0.00126563,0.01001443,0.00005307,0.53131519,0.01001457
0.00005859,0.00135938,0.01001300,0.00003089,0.53067357,0.01001305
0.00005859,0.00145312,0.01001265,0.00001014,0.53038762,0.01001265
0.00005859,0.00154688,0.01001243,-0.00001014,0.53036885,0.01001243
0.00005859,0.00164062,0.01001322,-0.00003089,0.53069236,0.01001327
0.00005859,0.00173438,0.01001421,-0.00005307,0.53129639,0.01001435
0.00005859,0.00182813,0.01001643,-0.00007781,0.53228466,0.01001673
0.00005859,0.00192187,0.01001926,-0.00010660,0.53362980,0.01001983
0.00005859,0.00201563,0.01002403,-0.00014146,0.53548198,0.01002502
0.00005859,0.00210938,0.01003060,-0.00018539,0.53788173,0.01003231
0.00005859,0.00220313,0.01004113,-0.00024300,0.54108706,0.01004407
0.00005859,0.00229687,0.01005696,-0.00032170,0.54532111,0.01006211
0.00005859,0.00239062,0.01008282,-0.00043376,0.55117264,0.01009214
0.00005859,0.00248438,0.01012409,-0.00059952,0.55949531,0.01014183
0.00005859,0.00257813,0.01018988,-0.00085092,0.57212646,0.01022535
0.00005859,0.00267188,0.01028115,-0.00122798,0.59239934,0.01035422
0.00005859,0.00276562,0.01035276,-0.00173534,0.62685812,0.01049720
0.00005859,0.00285937,0.01014727,-0.00213560,0.68657793,0.01036956
0.00005859,0.00295313,0.00859130,-0.00112692,0.78573137,0.00866490
